DwellingData_id,MPRN,Dwelling Address,Dwelling AddressLine1,Dwelling AddressLine2,Dwelling AddressLine3,Dwelling AddressLine4,Dwelling AddressLine5,Dwelling County,Dwelling PostCode,MPRN Address,MPRN unit no,MPRN house no,MPRN street,MPRN address1,MPRN address2,MPRN address4,MPRN address5,MPRN city,MPRN county,MPRN county name,Status,Percent_Match,BUILDING_ID,ADDRESS_REFERENCE,EIRCODE,SMALL_AREA_REF,Geo_Address,LATITUDE,LONGITUDE,UNIQUE_SMALL_AREA_REF,UNIQUE_EIRCODE,UNIQUE_LATITUDE,UNIQUE_LONGITUDE,New_Change,New_EIRCODE,New_SMALL_AREA_REF,New_Geo_Address,List_results,New_ADDRESS_REFENENCE
681976.0,10015264925.0,BALLYBRANIGAN BALLYMAHON CO LONGFORD ,BALLYBRANIGAN,BALLYMAHON,,,,39.0,,BALLYBRANIGAN BALLYMAHON CO LONGFORD LD,,,BALLYBRANIGAN,,,BALLYMAHON,,CO LONGFORD,LONGFORD,,MANY RESULTS,100.0,80947874.0,8094787400000000.0,N39N5K6,137009002,BALLYBRANIGAN BALLYMAHON CO. LONGFORD,53.5732351877885,-7.75753160982861,,,,,False,,,,,
722109.0,10300162532.0,GATER STREET DUNMORE CO GALWAY,GATER STREET,DUNMORE,,,,32.0,,GAITER STREET DUNMORE CO GALWAY GW,,,GAITER STREET,,,DUNMORE,,CO GALWAY,GALWAY,,MANY RESULTS,85.0,80430756.0,8043075600000000.0,H54NX86,67093004,SAINT TERESA'S CASTLE STREET DUNMORE CO. GALWAY,53.61882736312101,-8.7447077589829,,,,,False,,,,,
278719.0,10016037975.0,HOUSE NO 1 NEWTOWNFORBES CO SLIGO ,HOUSE NUMBER 1,NEWTOWNFORBES,,,,46.0,,NEWTOWNFORBES HOUSE 1 CO LONGFORD LD,,,NEWTOWNFORBES,HOUSE 1,,,,CO LONGFORD,LONGFORD,,MANY RESULTS,71.0,80943352.0,8094335200000000.0,N39FD78,137053004,1 LIOS BREAC CLOSE NEWTOWNFORBES CO. LONGFORD,53.76718456250421,-7.83438837360124,137053004,,,,False,,,,,
68002.0,10301553058.0,VELDENSTOWN BROWNSTOWN NAVAN CO MEATH,VELDENSTOWN,BROWNSTOWN,NAVAN,,,42.0,,BROWNSTOWN NAVAN MH,,,BROWNSTOWN,,,,,NAVAN,MEATH,,MANY RESULTS,100.0,61529260.0,6152926000000000.0,A85WN47,167079003,7 CLONKEEN BROWNSTOWN KILCLOON CO. MEATH,53.422465723587706,-6.57302768162066,,,,,False,,,,,
262824.0,10010990858.0,AGHLORA TUAM CO GALWAY,AGHLORA,TUAM,,,,32.0,,AGHLORA TUAM GW,,,AGHLORA,,,,,TUAM,GALWAY,,MANY RESULTS,86.0,35097191.0,3509719100000000.0,H91X26X,67021002,KILTULLAGH ORAN MORE CO. GALWAY,53.309942418259794,-8.952363000673,67021002,,,,False,,,,,
436326.0,10012534914.0,MUNROE ARDFINNAN CLONMEL CO TIPPERARY,MUNROE,ARDFINNAN,CLONMEL,,,47.0,,MUNROE ARDFINNAN CLONMEL TP,,,MUNROE,,,ARDFINNAN,,CLONMEL,TIPPERARY,,MANY RESULTS,80.0,80682797.0,8068279700000000.0,E91AE06,217066002,TOULOURE ARDFINNAN CO. TIPPERARY,52.323180464266606,-7.878695134816411,,,,,False,,,,,
276785.0,10019103664.0,RATHLOOSE POWERSTOWN CLONMEL CO TIPPERARY,RATHLOOSE,POWERSTOWN,CLONMEL,,,47.0,,RATHLOOSE POWERSTOWN CLONMEL TP,,,RATHLOOSE,,,POWERSTOWN,,CLONMEL,TIPPERARY,,MANY RESULTS,58.0,80685382.0,8068538200000000.0,E91FF21,217055004,RATHLOOSE CLONMEL CO. TIPPERARY,52.3692922293563,-7.66848724848029,,,,,False,,,,,
326958.0,10009406087.0,BALLYKINNACORA COROFIN CO CLARE,BALLYKINNACORA,COROFIN,,,,3.0,,BALLYKINNACORA COROFIN CO CLARE CE,,,BALLYKINNACORA,,,COROFIN,,CO CLARE,CLARE,,MANY RESULTS,67.0,80883222.0,8088322200000000.0,V95C2V5,37042006,KILNABOY ROAD COROFIN CO. CLARE,52.9478688242422,-9.06756653331043,,,,,False,,,,,
121129.0,10015455005.0,BALLINAGARE CASTLEREA CO ROSCOMMON ,BALLINAGARE,CASTLEREA,,,,45.0,,BALLINAGARE CASTLEREA RN,,,BALLINAGARE,,,,,CASTLEREA,ROSCOMMON,,MANY RESULTS,100.0,40003698.0,4000369800000000.0,F45AK23,197020004,ARRAGHAN BALLINAGARE CASTLEREA CO. ROSCOMMON,53.8269423795858,-8.40585625163381,,,,,True,F45AK23,197020004,ARRAGHAN BALLINAGARE CASTLEREA CO. ROSCOMMON F45AK23     ,"[4000369800000000L, 4000370000000000L, 4000370100000000L, 4000370500000000L, 4000370600000000L, 8038530635500713L, 8038530800000000L, 8038530935500722L, 8038531040778958L, 8038531040778960L, 8038531040778961L, 8038531040778959L, 8038531135500624L, 8038531200000000L, 8038531400000000L, 8038531500000000L, 8038531600000000L, 8038531735500635L, 8038531835500638L, 8038531900000000L, 8038532135500678L, 8038532300000000L, 8038532435500621L, 8038532535500610L, 8038533435500396L, 8038533500000000L, 8036068700000000L, 8036068835500580L, 8036068935500581L, 8038552100000000L, 8038552235500730L, 8038552300000000L, 8038552400000000L, 8038426435500543L, 8038426535500551L, 8038426635500553L, 8038426735500549L, 8038426835500710L, 8038426935500550L, 8038427200000000L, 8038427435500904L, 8038427535499873L, 8038427635499875L, 8038428435500712L, 8038493935499423L, 8038494035500674L, 8038494635500734L, 8038494735500737L, 8038494838074192L, 8038494935500738L, 8038495100000000L, 8038495238074269L, 8038495238074268L, 8038495340723443L, 8038495400000000L, 8038495600000000L, 8039134535499380L, 8039134735499398L, 8039134940777392L, 8039196500000000L, 8039196600000000L, 8039197335499461L, 8039212335499400L, 8036151035500822L, 8036151235500490L, 8036152200000000L, 8036172635500820L, 8036173135500572L, 8036191500000000L, 8036191600000000L, 8036192135500414L, 8036191735500589L, 8036191935500412L, 8036192035500229L, 8036192235500975L, 8036192300000000L, 8036192435500487L, 8036192500000000L, 8036192600000000L, 8036192735500483L, 8036192800000000L, 8036192935500234L, 8036193035500471L, 8036193100000000L, 8036193235500475L, 8036193300000000L, 8036193835500567L, 8036193900000000L, 8036194040295587L, 8038499135500999L, 8038499200000000L, 8038499335500890L, 8038499435500896L, 8038499535500898L, 8038499600000000L, 8038499735500899L, 8038499835500901L, 8038499935500892L, 8038500035500885L, 8038500135500537L, 8038500335500709L, 8038500400000000L, 8039169600000000L, 8039169935499454L, 8039170235499426L, 8039170335499421L, 8039170435499431L, 8039170600000000L, 8039170735499422L, 8039170835499453L, 8039170935499457L, 8039171135499450L, 8039171235499451L, 8039171300000000L, 8039171435499384L, 8039171535499386L, 8039171635499388L, 8039171735499389L, 8039171800000000L, 8039172135499399L, 8039172200000000L, 8038452900000000L, 8038453000000000L, 8038453100000000L, 8038453235500401L, 8038453335500403L, 8038453400000000L, 8038453535500406L, 8038453635500407L, 8038453700000000L, 8038453835500991L, 8038454135500993L, 8038454235500894L, 8038454335500895L, 8038454435500998L, 8038454500000000L, 8038454600000000L, 8038454735500546L, 8038454835500649L, 8038454900000000L, 8038455000000000L, 8038455100000000L, 8038455200000000L, 8038455337862743L, 8038455340239453L, 8038455500000000L, 8038455635500680L, 8038455700000000L, 8038455900000000L, 8038456535500667L, 8038456735500663L, 8038456800000000L, 8038456900000000L, 8038457000000000L, 8038457400000000L, 8038457135500614L, 8038457200000000L, 8038457335500616L, 8038457500000000L, 3554337000000000L, 8098149700000000L, 8098151435500646L, 8098152900000000L, 8098176000000000L, 8098061135499409L, 8098065600000000L, 8098066800000000L, 3550059300000000L, 3550068400000000L, 3550079535500801L, 3550092800000000L, 3550097700000000L, 8036227235499870L, 8036227435499877L, 8036227535499879L, 8036227635499880L, 8036227735499882L, 8036227835500976L, 8036227900000000L, 8036228000000000L, 8036228235500962L, 8036228335500964L, 8036228400000000L, 8036228535500965L, 8036228735500968L, 8036228900000000L, 8036229035500969L, 8036229200000000L, 8036229335500410L, 8036229435500973L, 8036229535500228L, 8036229735500231L, 8036229835500233L, 8036229935500464L, 8036081735500573L, 8036081835500575L, 8036082135500859L, 8036082335500032L, 8036082435500033L, 8036082535500584L, 8036082600000000L, 8036082735499411L, 2711874700000000L, 2711875300000000L, 2711875400000000L, 2711877100000000L, 2711852000000000L, 3550042500000000L, 3550043100000000L, 3550043600000000L, 3550050235500508L, 3807893700000000L, 3807894600000000L, 3807894400000000L, 3807894200000000L, 3807894700000000L, 3807894800000000L, 3807894900000000L, 3807895000000000L, 3807895100000000L, 3807895200000000L, 3807895340605846L, 3807895400000000L, 3807895500000000L, 3807895700000000L, 3807896000000000L, 3807896100000000L, 3807896200000000L, 3807567900000000L, 3807569000000000L, 3807569300000000L, 3807569400000000L, 3807569700000000L, 3807570400000000L, 3807570800000000L, 3807571800000000L, 3807571900000000L, 3807572000000000L, 3807572100000000L, 3807572300000000L, 3807572400000000L, 3807572540239494L, 3807572600000000L, 3807572700000000L, 3807666900000000L, 2704768900000000L, 3807411600000000L, 3807411700000000L, 3807413338074143L, 3807413338074142L, 3807413338074137L, 3807413338074138L, 3807413338074136L, 3807413338074139L, 3807427800000000L, 3807428100000000L, 3807429700000000L, 3807429800000000L, 3807432400000000L, 3807432500000000L, 3807432600000000L, 3807432700000000L, 3807433300000000L, 3807439138074392L, 3807439400000000L, 3807439900000000L, 3807442500000000L, 3807445300000000L, 3807449100000000L, 3786309000000000L, 3786275200000000L, 3786275300000000L, 3786275400000000L, 3786275500000000L, 3786276000000000L, 3786276100000000L, 3786276500000000L, 3786276700000000L, 3786276800000000L, 3786277000000000L, 3786277100000000L, 3786277200000000L, 3786277300000000L, 3786277400000000L, 3786277500000000L, 3786277600000000L, 3786277700000000L, 3786277800000000L, 3786277900000000L, 3786289300000000L, 3786290800000000L, 3786291200000000L, 3786294500000000L, 3786294700000000L, 3786295000000000L, 3786295300000000L, 3786295700000000L, 3786296300000000L, 3786296400000000L, 3786296600000000L, 3786296800000000L, 3786296900000000L, 3786297100000000L, 3786297300000000L, 3786297400000000L, 3786297500000000L, 3786297700000000L, 3786297800000000L, 3786297900000000L, 3786298000000000L, 3786298200000000L, 3786298300000000L, 3786298400000000L, 3786299400000000L, 3786299500000000L, 3786300240396900L, 3786302600000000L, 3786302900000000L, 3809831938098323L, 3809831938098327L, 3809831938098330L, 3807449900000000L, 3807450600000000L, 3807460100000000L, 3807461700000000L, 3807462000000000L, 3807462200000000L, 3807466100000000L, 3807466500000000L, 3807467700000000L, 3807467800000000L, 3807467900000000L, 3807468200000000L, 3807490600000000L, 3807493300000000L, 3807493400000000L, 3807493500000000L, 3807495000000000L, 3807496700000000L, 3807497000000000L, 3807543400000000L, 3807557600000000L, 3848895238488953L, 3848895900000000L, 3848896000000000L, 3848896300000000L, 3848896400000000L, 3848896500000000L, 3848896700000000L, 3848897500000000L, 3848896800000000L, 3848896900000000L, 3848897000000000L, 3848897740396899L, 3848897900000000L, 3848911200000000L, 3848911700000000L, 3848911800000000L, 3848912000000000L, 3848912100000000L, 3848912300000000L, 3848912400000000L, 3848912500000000L, 3848912600000000L, 3848912700000000L, 6013413000000000L, 6013413200000000L, 2711799360134103L, 2711799400000000L, 2711799700000000L, 2711800038074416L, 2711800600000000L, 2711800900000000L, 2711801300000000L, 2711804600000000L, 2711805200000000L, 2711806537863067L, 2711806800000000L, 2711807300000000L, 2711807537862891L, 2711808200000000L, 2711808800000000L, 6013625700000000L, 6013625400000000L, 6013625500000000L, 6013626100000000L, 6013629400000000L, 4024271700000000L, 4024271900000000L, 4029561700000000L, 4065396300000000L, 4072344500000000L, 3807468100000000L]",4000369800000000
329024.0,10009560314.0,AUGHRIM SCARIFF SCARIFF CO CLARE NA,AUGHRIM,SCARIFF,SCARIFF,,,3.0,,AUGHRIM SCARIFF CO CLARE CE,,,AUGHRIM,,,SCARIFF,,CO CLARE,CLARE,,MANY RESULTS,86.0,35100739.0,3510073936990948.0,V94XW97,37037001,SPORTS WORLD NETTING LIMITED AUGHRIM SCARRIFF CO. CLARE,52.92584023354861,-8.55308768661369,,,,,False,,,,,
